track_name,date_listened,artist_name,ms_played
Don't You (Forget About Me) - Triple J Like A Version,2022-10-02T22:05:00Z,Boy & Bear,145767
Isolation - Remastered 2010,2022-10-02T22:05:00Z,John Lennon,4545
Love Today - Orchestra Version,2022-10-02T22:05:00Z,MIKA,5272
Firefly Main Title,2022-10-02T22:06:00Z,Sonny Rhodes,52266
Tiny Spark,2022-10-02T22:06:00Z,Brendan Benson,2959
Lonely Rolling Star,2022-10-02T22:07:00Z,GameChops,72612
"Piano Concerto No. 2 In C Minor, Op. 18: 2. Adagio Sostenuto",2022-09-08T00:11:00Z,Sergei Rachmaninoff,421928
Cheers (Drink To That),2022-10-02T22:07:00Z,Rihanna,2506
Night Time,2022-10-02T22:08:00Z,Superorganism,2576
Barcelona,2022-10-02T22:08:00Z,Freddie Mercury,4771
Things Can Only Get Better,2022-10-02T22:08:00Z,D:Ream,1784
Honey,2022-10-02T22:08:00Z,Jack Stirling,2775
Cold Cold Man,2022-10-02T22:10:00Z,Saint Motel,127471
Cold Cold Man,2022-10-03T15:30:00Z,Saint Motel,231716
Crush,2022-10-03T15:32:00Z,Tessa Violet,346
Sweet Talk,2022-10-03T15:32:00Z,Saint Motel,91160
National Park,2022-10-03T15:32:00Z,Braxton Burks,326
The Secret To Making Friends As An Adult,2022-09-08T00:36:00Z,The Happiness Lab with Dr. Laurie Santos,618600
Quarter Past Midnight,2022-10-03T15:32:00Z,Bastille,840
"Serenade Of Water (From ""Ocarina Of Time"")",2022-10-03T15:32:00Z,Taylor Davis,828
Mariners Apartment Complex,2022-10-03T15:32:00Z,Lana Del Rey,235
In Your Light,2022-10-03T16:15:00Z,Gotye,220775
Why Living Without Regret Is A Bad Idea,2022-10-03T23:37:00Z,The Happiness Lab with Dr. Laurie Santos,684100
The Box,2022-10-04T18:50:00Z,Johnny Flynn,86040
Charlie Wants An Abortion,2022-10-04T23:08:00Z,The Always Sunny Podcast,1852133
The Gang Gets Racist,2022-10-04T23:38:00Z,The Always Sunny Podcast,1798138
Underage Drinking: A National Concern,2022-10-05T00:07:00Z,The Always Sunny Podcast,1760052
Charlie Has Cancer,2022-10-05T00:40:00Z,The Always Sunny Podcast,1988022
Ego,2022-09-04T21:57:00Z,[spunge],185413
